source,target,value,level
Volume (thermodynamics),Projection (relational algebra),1,2
Augmented reality,Ray tracing (physics),1,2
Visualization,Nearest neighbor search,1,2
Modality (human–computer interaction),Magnetic resonance imaging,1,2
Cluster analysis,Nearest neighbor search,1,2
Deep learning,Anomaly detection,1,2
Field-programmable gate array,Tracing,1,2
Sequence (biology),Nearest neighbor search,1,2
Sequence (biology),Similarity measure,1,2
Sonification,Virtual reality,1,2
Grid,Computational geometry,1,2
Sonification,Auditory display,1,2
Architecture,Database design,1,2
Curvature,Delaunay triangulation,1,2
Ray tracing (physics),Acceleration,1,2
Event (particle physics),Change detection,1,2
Tracing,Acceleration,1,2
Visualization,Logging,1,2
Similarity measure,Nearest neighbor search,1,2
Triangulation,Computation,1,2
Amino acid,Graph,1,2
Space (punctuation),Manifold (fluid mechanics),1,2
Augmented reality,Realism,1,2
Crystallite,Microstructure,1,2
Surface (topology),Simplex,1,2
Rendering (computer graphics),Realism,1,2
Realism,Tracing,1,2
Modal,Image resolution,1,2
Deep learning,Anomaly (physics),1,2
Fractal,Computer graphics,1,2
Intelligent transportation system,Traffic flow (computer networking),1,2
Modality (human–computer interaction),Medical imaging,1,2
Geographic information system,Information system,1,2
Visualization,Realism,1,2
Modal,Modality (human–computer interaction),1,2
Multivariate statistics,Anomaly detection,1,2
Computer graphics,Realism,1,2
Polygon mesh,Simplex,1,2
Visualization,Auditory display,1,2
Anomaly (physics),Multivariate statistics,1,2
Spatial analysis,Information system,1,2
Triangulation,Simplex,1,2
Geospatial analysis,Information system,1,2
Ray tracing (physics),Field-programmable gate array,1,2
Auditory display,Virtual reality,1,2
Pattern recognition (psychology),Anomaly (physics),1,2
Selection (genetic algorithm),Rule-based system,1,2
Big data,Feature (linguistics),1,2
Curvature,Simplex,1,2
Curvilinear coordinates,Rendering (computer graphics),1,2
Curvature,Grid,1,2
Sensemaking,Embodied cognition,1,2
Modal,Magnetic resonance imaging,1,2
Feature selection,Big data,1,2
Modality (human–computer interaction),Image resolution,1,2
Projection (relational algebra),Computer graphics,1,2
Realism,Ray tracing (physics),1,2
Topological data analysis,Space (punctuation),1,2
Modal,Medical imaging,1,2
Topology (electrical circuits),Space (punctuation),1,2
Analytics,Logging,1,2
Object (grammar),Pattern recognition (psychology),1,2
Grid,Delaunay triangulation,1,2
Polyhedron,Computation,1,2
Solid modeling,Face (sociological concept),1,2
Face (sociological concept),3d model,1,2
Face (sociological concept),Finite element method,1,2
3d model,Finite element method,1,2
Delaunay triangulation,Rendering (computer graphics),1,2
Polygon mesh,Texture mapping,1,2
Voxel,Octree,1,2
Voxel,Texture mapping,1,2
Solid modeling,Octree,1,2
Pattern recognition (psychology),Character (mathematics),1,2
Solid modeling,Texture mapping,1,2
Document processing,Trigram,1,2
Document processing,Character (mathematics),1,2
Point cloud,Octree,1,2
Document processing,Pattern recognition (psychology),1,2
Point cloud,Texture mapping,1,2
Octree,Texture mapping,1,2
The Internet,Big data,1,2
Big data,Web page,1,2
Graphics,Object-oriented programming,1,2
Graphics,Object (grammar),1,2
Rendering (computer graphics),Object-oriented programming,1,2
Computer graphics,Object-oriented programming,1,2
Sensemaking,Business intelligence,1,2
User interface,Metadata,1,2
Phase noise,Gaussian noise,1,2
Phase noise,Noise reduction,1,2
Surface (topology),Parallel algorithm,1,2
Parallel algorithm,Polyhedron,1,2
Soft tissue,Finite element method,1,2
Pattern recognition (psychology),Trigram,1,2
Soft tissue,3d model,1,2
Spatial analysis,Environmental data,1,2
Hydraulics,Turbulence,1,2
Animation,Course (navigation),1,2
Identification (biology),Event (particle physics),1,2
Visualization,Course (navigation),1,2
Course (navigation),Computer graphics,1,2
Marine mammal,Visualization,1,2
Marine mammal,Tracking (education),1,2
Metadata,Geographic information system,1,2
Feature (linguistics),Event (particle physics),1,2
Metadata,Spatial analysis,1,2
Metadata,Environmental data,1,2
Visualization,Environmental data,1,2
Geographic information system,Environmental data,1,2
Geospatial analysis,Environmental data,1,2
Soft tissue,Face (sociological concept),1,2
Skull,Biomechanics,1,2
Skull,Soft tissue,1,2
Skull,Solid modeling,1,2
Skull,Face (sociological concept),1,2
Skull,3d model,1,2
Skull,Finite element method,1,2
Biomechanics,Soft tissue,1,2
Biomechanics,Solid modeling,1,2
Biomechanics,Face (sociological concept),1,2
Biomechanics,3d model,1,2
Biomechanics,Finite element method,1,2
Character (mathematics),Trigram,1,2
Soft tissue,Solid modeling,1,2
Parallel algorithm,Computation,1,2
Probabilistic logic,Topic model,1,2
Anomaly detection,Annotation,1,2
Resource (disambiguation),Process (computing),1,2
Geometric modeling,B-spline,1,2
Volume (thermodynamics),Thinning,1,2
Quadtree,Cube (algebra),1,2
Cube (algebra),Octree,1,2
User interface,Immersion (mathematics),1,2
Immersion (mathematics),Software,1,2
Volume (thermodynamics),Sonification,1,2
Rendering (computer graphics),Sonification,1,2
Virtual reality,Sonification,1,2
Perception,Musical,1,2
Perception,Musical instrument,1,2
Musical,Visualization,1,2
Musical,Musical instrument,1,2
Visualization,Musical instrument,1,2
Business intelligence,Situation analysis,1,2
Temple,Excavation,1,2
Wireless,Electrical impedance,1,2
Business intelligence,Situation awareness,1,2
Wireless,Absorption (acoustics),1,2
Wireless,Energy (signal processing),1,2
Electrical impedance,Absorption (acoustics),1,2
Business intelligence,Learning analytics,1,2
Electrical impedance,Energy (signal processing),1,2
Absorption (acoustics),Energy (signal processing),1,2
Visualization,Confocal laser scanning microscopy,1,2
Visualization,Laser,1,2
Microscope,Laser,1,2
Confocal laser scanning microscopy,Laser,1,2
Confocal microscopy,Laser,1,2
Solid modeling,B-spline,1,2
Surface (topology),B-spline,1,2
Optimization problem,Stochastic optimization,1,2
Resource allocation,Process (computing),1,2
Volume (thermodynamics),Track (disk drive),1,2
Resource (disambiguation),Analytics,1,2
Topology (electrical circuits),Polygon mesh,1,2
Topology (electrical circuits),Boundary (topology),1,2
Visualization,Depth sounding,1,2
User interface,Optical head-mounted display,1,2
User interface,Stereoscopy,1,2
Rendering (computer graphics),Optical head-mounted display,1,2
Visualization,Optical head-mounted display,1,2
Augmented reality,Optical head-mounted display,1,2
Augmented reality,Stereoscopy,1,2
Optical head-mounted display,Stereoscopy,1,2
Optical head-mounted display,Virtual reality,1,2
Pixel,Opacity,1,2
Optimization problem,Stochastic process,1,2
Pixel,Surface (topology),1,2
Decision support system,Learning analytics,1,2
Opacity,Surface (topology),1,2
Fluid dynamics,Uncertainty analysis,1,2
Uncertainty analysis,Flow (mathematics),1,2
Predictive analytics,Situation analysis,1,2
Situation awareness,Situation analysis,1,2
Uncertainty analysis,Computational fluid dynamics,1,2
Visualization,Simultaneity,1,2
Simultaneity,Rendering (computer graphics),1,2
Situation awareness,Predictive analytics,1,2
Simultaneity,Computation,1,2
Learning analytics,Situation analysis,1,2
Anomaly detection,Cluster analysis,1,2
Computational fluid dynamics,Hydraulics,1,2
Simplex,Computation,1,2
Invariant (physics),Eigenvalues and eigenvectors,1,2
Software,Data structure,1,2
Surface (topology),Tensor product,1,2
Surface (topology),Minimal surface,1,2
Analytics,Change detection,1,2
Anomaly detection,Event (particle physics),1,2
Anomaly detection,Time series,1,2
Polygon mesh,Tensor product,1,2
Polygon mesh,Minimal surface,1,2
Anomaly detection,Social media,1,2
Triangulation,Tensor product,1,2
Triangulation,Minimal surface,1,2
Topology (electrical circuits),Tensor product,1,2
Topology (electrical circuits),Minimal surface,1,2
Tensor product,Delaunay triangulation,1,2
Tensor product,Minimal surface,1,2
Delaunay triangulation,Minimal surface,1,2
Data modeling,Data flow diagram,1,2
Visualization,Data flow diagram,1,2
Data-driven,Data flow diagram,1,2
Data-driven,Data structure,1,2
Big data,Data flow diagram,1,2
Data flow diagram,Data structure,1,2
Decomposition,Tetrahedron,1,2
Flow (mathematics),Flow measurement,1,2
Propositional calculus,Linear temporal logic,1,2
Torus,Invariant (physics),1,2
Torus,Eigenvalues and eigenvectors,1,2
Torus,Dynamical systems theory,1,2
Anomaly detection,Feature extraction,1,2
Feature extraction,Social media,1,2
Diagram,Data structure,1,2
Information design,Quality (philosophy),1,2
Volume (thermodynamics),Block (permutation group theory),1,2
Social media,Change detection,1,2
Simplex,Computational geometry,1,2
Simplex,Delaunay triangulation,1,2
Computation,Computational geometry,1,2
Computation,Delaunay triangulation,1,2
Surface (topology),Estimation,1,2
Surface (topology),Estimation theory,1,2
Volume (thermodynamics),Lossy compression,1,2
Social media,Time series,1,2
Rendering (computer graphics),Lossy compression,1,2
Visualization,Lossy compression,1,2
Big data,Change detection,1,2
Compression (physics),Block (permutation group theory),1,2
Block (permutation group theory),Data compression,1,2
Readability,Quality (philosophy),1,2
Rendering (computer graphics),Compressed sensing,1,2
Rendering (computer graphics),Laplace operator,1,2
Pixel,Compressed sensing,1,2
Feature extraction,Time series,1,2
Pixel,Laplace operator,1,2
Pixel,Iterative reconstruction,1,2
Compressed sensing,Laplace operator,1,2
Laplace operator,Iterative reconstruction,1,2
Legibility,Readability,1,2
Legibility,Information design,1,2
Legibility,Quality (philosophy),1,2
Visualization,Information design,1,2
Readability,Information design,1,2
Torus,Hamiltonian system,1,2
Invariant (physics),Dynamical systems theory,1,2
Flow (mathematics),Hydraulics,1,2
Invariant (physics),Hamiltonian system,1,2
Laminar flow,Fin,1,2
Laminar flow,Wind tunnel,1,2
Laminar flow,Hypersonic speed,1,2
Wing,Visualization,1,2
Deep learning,Boosting (machine learning),1,2
Correlative,Software,1,2
Correlative,Analytics,1,2
Visualization,Correlative,1,2
Outlier,Cluster (spacecraft),1,2
Wing,Fin,1,2
Orientation (vector space),Microstructure,1,2
Wing,Wind tunnel,1,2
Annotation,Cluster (spacecraft),1,2
Annotation,Outlier,1,2
Annotation,Big data,1,2
Annotation,Visualization,1,2
Cluster analysis,Annotation,1,2
Anomaly detection,Cluster (spacecraft),1,2
Anomaly detection,Outlier,1,2
Wing,Hypersonic speed,1,2
Visualization,Fin,1,2
Fin,Flow (mathematics),1,2
Fin,Computational fluid dynamics,1,2
Fin,Wind tunnel,1,2
Fin,Hypersonic speed,1,2
Flow (mathematics),Wind tunnel,1,2
Wind tunnel,Hypersonic speed,1,2
Visualization,Hydraulics,1,2
Fluid dynamics,Hydraulics,1,2
Laminar flow,Visualization,1,2
Laminar flow,Wing,1,2
Space (punctuation),Convergence (economics),1,2
Rotor (electric),Computational fluid dynamics,1,2
Eigenvalues and eigenvectors,Dynamical systems theory,1,2
Eigenvalues and eigenvectors,Hamiltonian system,1,2
Dynamical systems theory,Hamiltonian system,1,2
Visualization,Statistical model,1,2
Visualization,Distribution (mathematics),1,2
Statistical model,Exploratory data analysis,1,2
Statistical model,Distribution (mathematics),1,2
Exploratory data analysis,Distribution (mathematics),1,2
Aerodynamics,Rotor (electric),1,2
Aerodynamics,Blade (archaeology),1,2
Aerodynamics,Propeller,1,2
Convergence (economics),Cluster (spacecraft),1,2
Rotor (electric),Blade (archaeology),1,2
Convergence (economics),Cluster analysis,1,2
Mach number,Wind tunnel,1,2
Rotor (electric),Wind tunnel,1,2
Rotor (electric),Propeller,1,2
Blade (archaeology),Computational fluid dynamics,1,2
Blade (archaeology),Wind tunnel,1,2
Blade (archaeology),Propeller,1,2
Space (punctuation),Cluster (spacecraft),1,2
Computational fluid dynamics,Propeller,1,2
Wind tunnel,Propeller,1,2
Aerodynamics,Laminar flow,1,2
Aerodynamics,Fin,1,2
Mach number,Laminar flow,1,2
Mach number,Wing,1,2
Mach number,Fin,1,2
Scale (ratio),Logging,1,2
Flow (mathematics),Transient (computer programming),1,2
Orientation (vector space),Crystallite,1,2
Fractal,Diffusion,1,2
Ray tracing (physics),Subdivision,1,2
Workflow,Pattern recognition (psychology),1,2
Ultrasound,Medical imaging,1,2
Flow (mathematics),Magnetic resonance imaging,1,2
Workflow,Classifier (UML),1,2
Flow (mathematics),Medical imaging,1,2
Image resolution,Flow (mathematics),1,2
Blood flow,Magnetic resonance imaging,1,2
Blood flow,Image resolution,1,2
Pulsatile flow,Magnetic resonance imaging,1,2
Pulsatile flow,Medical imaging,1,2
Pulsatile flow,Flow (mathematics),1,2
Pulsatile flow,Image resolution,1,2
Pulsatile flow,Blood flow,1,2
Visualization,Question answering,1,2
In vivo,Magnetic resonance imaging,1,2
In vivo,Medical imaging,1,2
Ray tracing (physics),Adaptive algorithm,1,2
Subdivision,Adaptive algorithm,1,2
Subdivision,Tracing,1,2
Graph,Quadtree,1,2
Dimension (graph theory),Visualization,1,2
Visualization,Deixis,1,2
Big data,Massively parallel,1,2
Visualization,Computer-aided,1,2
Quadtree,Tree (set theory),1,2
Quadtree,Space (punctuation),1,2
Graph,Tree traversal,1,2
Cluster analysis,Data structure,1,2
Anchoring,Sensemaking,1,2
Anchoring,Analytics,1,2
Cluster analysis,Tree traversal,1,2
Cluster analysis,Tree (set theory),1,2
Cluster analysis,Space (punctuation),1,2
Cluster analysis,Quadtree,1,2
Image (mathematics),Vendor,1,2
Adaptive algorithm,Tracing,1,2
In vivo,Flow (mathematics),1,2
In vivo,Image resolution,1,2
Analytics,Question answering,1,2
Density functional theory,Oxygen,1,2
Polygon mesh,Field (mathematics),1,2
Oxygen,Band gap,1,2
Embedding,Analytics,1,2
Big data,Table (database),1,2
Electronic structure,Band gap,1,2
Electronic structure,Oxygen,1,2
Density functional theory,Band gap,1,2
Density functional theory,Electronic structure,1,2
Diagram,Gray (unit),1,2
Ab initio,Band gap,1,2
Ab initio,Oxygen,1,2
Ab initio,Electronic structure,1,2
Ab initio,Density functional theory,1,2
Silicon,Band gap,1,2
Table (database),Data analysis,1,2
Table (database),Exploratory data analysis,1,2
Field (mathematics),Point cloud,1,2
Topology (electrical circuits),3D reconstruction,1,2
In vivo,Blood flow,1,2
Hue,Perception,1,2
In vivo,Pulsatile flow,1,2
Visualization,Magnetic resonance imaging,1,2
Visualization,Pulsatile flow,1,2
Visualization,In vivo,1,2
Positron emission tomography,Tomography,1,2
Visualization,Tomography,1,2
Question answering,Learning analytics,1,2
RGB color model,Perception,1,2
Foraging,Semantic similarity,1,2
Visualization,Hue,1,2
Rendering (computer graphics),Hue,1,2
Colored,Perception,1,2
Colored,Hue,1,2
Colored,Pattern recognition (psychology),1,2
Distance education,Online video,1,2
Topology (electrical circuits),Point cloud,1,2
Fractal,Kinetics,1,2
Kinetics,Visualization,1,2
Artificial neural network,Gaussian noise,1,2
Kinetics,Diffusion,1,2
Geodesic,Spacetime,1,2
Geodesic,Conformal map,1,2
General relativity,Spacetime,1,2
Visualization,Knowledge transfer,1,2
General relativity,Conformal map,1,2
General relativity,Geodesic,1,2
Space (punctuation),Conformal map,1,2
Space (punctuation),Geodesic,1,2
Space (punctuation),General relativity,1,2
Curvature,Spacetime,1,2
Curvature,Conformal map,1,2
Curvature,Geodesic,1,2
Curvature,General relativity,1,2
Curvature,Space (punctuation),1,2
Volume (thermodynamics),Dynamic time warping,1,2
Image warping,Dynamic time warping,1,2
Tensor (intrinsic definition),Matrix (chemical analysis),1,2
Conformal map,Spacetime,1,2
Animation,Fuzzy logic,1,2
Analytics,Knowledge transfer,1,2
Query language,Multimedia database,1,2
Computational fluid dynamics,Cleanroom,1,2
Topology (electrical circuits),Computational fluid dynamics,1,2
Flow (mathematics),Topology (electrical circuits),1,2
Surface (topology),Field (mathematics),1,2
Cloud computing,Wind speed,1,2
Query expansion,Multimedia database,1,2
Query optimization,Multimedia database,1,2
Visualization,Visual language,1,2
Analytics,Knowledge extraction,1,2
Knowledge base,Knowledge transfer,1,2
Profiling (computer programming),Source code,1,2
Profiling (computer programming),Software,1,2
Visualization,Source code,1,2
Analytics,Domain knowledge,1,2
Analytics,Knowledge-based systems,1,2
Analytics,Knowledge engineering,1,2
Nonlinear system,Finite element method,1,2
Resolution (logic),Finite element method,1,2
Resolution (logic),Nonlinear system,1,2
Software,Supercomputer,1,2
Global Positioning System,Satellite,1,2
Global Positioning System,Bathymetry,1,2
Decision support system,Data modeling,1,2
Computational fluid dynamics,Fluid dynamics,1,2
Dynamics (music),Fluid dynamics,1,2
Visualization,Undergraduate research,1,2
Supercomputer,Workstation,1,2
Scalability,Workstation,1,2
Global Positioning System,Seafloor spreading,1,2
Analytics,Massively parallel,1,2
Parallel processing,Big data,1,2
Scalability,Supercomputer,1,2
Scalability,Software,1,2
Parallel processing,Workstation,1,2
Parallel processing,Supercomputer,1,2
Parallel processing,Software,1,2
Global Positioning System,Seabed,1,2
Bathymetry,Satellite,1,2
Domain knowledge,Knowledge transfer,1,2
Terrain,Graphics,1,2
Polygon mesh,Nonlinear system,1,2
Polygon mesh,Resolution (logic),1,2
Knowledge-based systems,Knowledge transfer,1,2
Knowledge engineering,Knowledge extraction,1,2
Knowledge engineering,Knowledge transfer,1,2
Knowledge extraction,Knowledge transfer,1,2
Terrain,Computer graphics,1,2
Volume (thermodynamics),Terrain,1,2
Analytics,Parallel processing,1,2
Satellite,Seafloor spreading,1,2
Cluster analysis,Pattern analysis,1,2
Pattern recognition (psychology),Pattern analysis,1,2
Satellite,Seabed,1,2
Pattern analysis,Subspace topology,1,2
Pattern analysis,Linear subspace,1,2
Sentiment analysis,Event (particle physics),1,2
Silicon,Oxygen,1,2
Deep learning,Gaussian noise,1,2
Big data,Logging,1,2
Computer graphics,Computational geometry,1,2
Visualization,Julia set,1,2
Quaternion,Julia set,1,2
Autocorrelation,Temporal database,1,2
Bivariate analysis,Spline (mechanical),1,2
Multivariate statistics,Spline (mechanical),1,2
Object (grammar),Temporal database,1,2
Multivariate statistics,Bivariate analysis,1,2
Credit risk,Default,1,2
Blockchain,Database transaction,1,2
B-spline,Bivariate analysis,1,2
Blockchain,Cryptocurrency,1,2
B-spline,Multivariate statistics,1,2
Database transaction,Cryptocurrency,1,2
Stereopsis,Virtual reality,1,2
Embedding,Reduction (mathematics),1,2
Embedding,Scheme (mathematics),1,2
Control (management),Stereopsis,1,2
Coding (social sciences),Decoding methods,1,2
Autocorrelation,Object (grammar),1,2
Lattice (music),Scalar (mathematics),1,2
Visualization,Robot,1,2
Correlation,Similarity measure,1,2
Correlation,Relevance (law),1,2
Similarity measure,Relevance (law),1,2
Surface (topology),3d model,1,2
Pattern recognition (psychology),Training (meteorology),1,2
Debugging,Analytics,1,2
Debugging,Robot,1,2
Analytics,Robot,1,2
Lattice (music),Scalar field,1,2
Image (mathematics),Shadow (psychology),1,2
Pixel,Shadow (psychology),1,2
Multivariate statistics,Analytics,1,2
Rendering (computer graphics),Vector field,1,2
Visualization,Autocorrelation,1,2
Spatial analysis,Autocorrelation,1,2
Spatial analysis,Object (grammar),1,2
Stereoscopy,Stereopsis,1,2
Stereoscopy,Control (management),1,2
Surface wave,Interrogation,1,2
Line segment,Object (grammar),1,2
Visualization,Knowledge representation and reasoning,1,2
Doppler effect,Visualization,1,2
Minification,Constraint (computer-aided design),1,2
Object (grammar),Point (geometry),1,2
Topology (electrical circuits),Fluid dynamics,1,2
Point cloud,Object (grammar),1,2
Line segment,Point (geometry),1,2
Line segment,Point cloud,1,2
Tomography,Positron emission tomography,1,2
Line (geometry),Point (geometry),1,2
Line (geometry),Object (grammar),1,2
Line (geometry),Point cloud,1,2
Topology (electrical circuits),Surface (topology),1,2
Fluid dynamics,Surface (topology),1,2
Flow (mathematics),Surface (topology),1,2
Line (geometry),Line segment,1,2
Domain knowledge,Knowledge representation and reasoning,1,2
Medical imaging,Image resolution,1,2
Surface acoustic wave,Interrogation,1,2
Visualization,Scheme (mathematics),1,2
Surface acoustic wave,Surface wave,1,2
Surface (topology),Interrogation,1,2
Surface (topology),Surface wave,1,2
Surface (topology),Surface acoustic wave,1,2
Octree,Quadtree,1,2
Computer graphics,Quadtree,1,2
Dimensionality reduction,Scheme (mathematics),1,2
Pattern recognition (psychology),Scheme (mathematics),1,2
Medical imaging,Positron emission tomography,1,2
Delaunay triangulation,Digital elevation model,1,2
Reduction (mathematics),Scheme (mathematics),1,2
Scheme (mathematics),Curse of dimensionality,1,2
Rendering (computer graphics),Subdivision,1,2
Volume (thermodynamics),Subdivision,1,2
Positron emission tomography,Iterative reconstruction,1,2
Image resolution,Positron emission tomography,1,2
Polygon mesh,Geometric modeling,1,2
Semantic similarity,Relevance (law),1,2
Silicon,Electronic structure,1,2
Computational geometry,Geometric modeling,1,2
Semantics (computer science),Argumentative,1,2
Context (archaeology),Conversation,1,2
Fluid dynamics,Fluid mechanics,1,2
Sensitivity (control systems),Respiration,1,2
Cluster analysis,Feature selection,1,2
Cluster analysis,Feature learning,1,2
Visualization,Respiration,1,2
Breathing,Respiration,1,2
Breathing,Sensitivity (control systems),1,2
Cluster analysis,Semantic similarity,1,2
Cluster analysis,Correlation,1,2
Breathing,Visualization,1,2
Biological specimen,Confocal,1,2
Biological specimen,Microscopy,1,2
Confocal microscopy,Biological specimen,1,2
Confocal laser scanning microscopy,Biological specimen,1,2
Cluster analysis,Relevance (law),1,2
Semantics (computer science),Argumentation theory,1,2
Storage tank,Process (computing),1,2
Annotation,Argumentative,1,2
Domain (mathematical analysis),Argumentative,1,2
Pattern recognition (psychology),Gaussian noise,1,2
Silicon,Density functional theory,1,2
Silicon,Ab initio,1,2
Convolutional neural network,Gaussian noise,1,2
Domain (mathematical analysis),Annotation,1,2
Domain (mathematical analysis),Semantics (computer science),1,2
Domain (mathematical analysis),Argumentation theory,1,2
Annotation,Semantics (computer science),1,2
Flow (mathematics),Virtual reality,1,2
Packing problems,SPHERES,1,2
Underwater,Iterative reconstruction,1,2
Sonar,Iterative reconstruction,1,2
Annotation,Argumentation theory,1,2
Cube (algebra),Ambiguity,1,2
Selection (genetic algorithm),Volume (thermodynamics),1,2
Topological data analysis,Vector field,1,2
Microscope,Biological specimen,1,2
Feature selection,Unsupervised learning,1,2
Volume (thermodynamics),Confocal,1,2
Semantic similarity,Similarity measure,1,2
Feature learning,Relevance (law),1,2
Pattern recognition (psychology),Semantic similarity,1,2
Pattern recognition (psychology),Correlation,1,2
Virtual machine,Graphical user interface,1,2
Virtual machine,Workstation,1,2
Pattern recognition (psychology),Relevance (law),1,2
Semantic similarity,Correlation,1,2
User experience design,Graphical user interface,1,2
Feature learning,Correlation,1,2
Software,User experience design,1,2
Data processing,Software,1,2
Data processing,Computer graphics,1,2
Data processing,Graphics,1,2
Point cloud,3d model,1,2
Point cloud,Geometric modeling,1,2
Computational geometry,3d model,1,2
Feature learning,Similarity measure,1,2
Feature learning,Semantic similarity,1,2
Feature selection,Feature learning,1,2
Computational geometry,Visualization,1,2
Feature selection,Semantic similarity,1,2
Volume (thermodynamics),Microscopy,1,2
Volume (thermodynamics),Biological specimen,1,2
Volume (thermodynamics),Confocal microscopy,1,2
Volume (thermodynamics),Confocal laser scanning microscopy,1,2
Volume (thermodynamics),Microscope,1,2
Computational geometry,Coordinate system,1,2
Workstation,Graphical user interface,1,2
Unsupervised learning,Relevance (law),1,2
Virtual reality,Graphical user interface,1,2
Virtual reality,Workstation,1,2
Feature selection,Correlation,1,2
Feature selection,Similarity measure,1,2
Unsupervised learning,Semantic similarity,1,2
Unsupervised learning,Correlation,1,2
Unsupervised learning,Similarity measure,1,2
Computational fluid dynamics,Airflow,1,2
Visualization,Cleanroom,1,2
Cleanroom,Airflow,1,2
Point cloud,Vector field,1,2
Mesoscale meteorology,Visualization,1,2
Computational fluid dynamics,Mesoscale meteorology,1,2
Flow (mathematics),Mesoscale meteorology,1,2
Ultrasound,Pregnancy,1,2
Volume (thermodynamics),Pregnancy,1,2
Volume (thermodynamics),Ultrasound,1,2
Visualization,Ultrasonic sensor,1,2
3D reconstruction,Ultrasonic sensor,1,2
Electric power transmission,Transmission line,1,2
Power (physics),Transmission line,1,2
Learning analytics,Sentiment analysis,1,2
Power (physics),Electric power transmission,1,2
Social media,Predictive analytics,1,2
Sentiment analysis,Business intelligence,1,2
Visualization,Transmission line,1,2
Visualization,Electric power transmission,1,2
Sentiment analysis,Predictive analytics,1,2
Visualization,Precipitation,1,2
Automatic summarization,Topic model,1,2
Visualization,Plasma,1,2
Sentence,Topic model,1,2
TRACER,Particle (ecology),1,2
Flow (mathematics),Particle (ecology),1,2
Flow (mathematics),TRACER,1,2
Cube (algebra),Discretization,1,2
Cube (algebra),Cartesian coordinate system,1,2
Hypercube,Discretization,1,2
Hypercube,Cartesian coordinate system,1,2
Hypercube,Cube (algebra),1,2
Text corpus,Automatic summarization,1,2
Polygon mesh,Hypercube,1,2
Fast marching method,Discretization,1,2
Fast marching method,Cartesian coordinate system,1,2
Fast marching method,Hypercube,1,2
Turbulence,Plasma,1,2
Visualization,Text corpus,1,2
Text corpus,Task (project management),1,2
Transmission (telecommunications),Transmission line,1,2
Transmission (telecommunications),Electric power transmission,1,2
Transmission (telecommunications),Power (physics),1,2
Visualization,Work (physics),1,2
Enhanced Data Rates for GSM Evolution,Feature (linguistics),1,2
Feature extraction,Enhanced Data Rates for GSM Evolution,1,2
Atmospheric model,Climate change,1,2
Greenhouse gas,Climate change,1,2
Activity recognition,Learning analytics,1,2
Deep learning,Work (physics),1,2
Greenhouse gas,Atmospheric model,1,2
Vortex,Polar,1,2
Computer simulation,Numerical analysis,1,2
Stratosphere,Polar,1,2
Stratosphere,Vortex,1,2
Work (physics),Convolutional neural network,1,2
Ozone,Polar,1,2
Ozone,Vortex,1,2
Frame (networking),Video game,1,2
Pattern recognition (psychology),Direction vector,1,2
Computer simulation,Visualization,1,2
Computer simulation,Quantum,1,2
Wavelet,Graph,1,2
Voltage,Transmission (telecommunications),1,2
Transmission (telecommunications),Visualization,1,2
Voltage,Transmission line,1,2
Crowdsourcing,Situation awareness,1,2
Crowdsourcing,Sensemaking,1,2
Voltage,Electric power transmission,1,2
Voltage,Power (physics),1,2
Voltage,Visualization,1,2
Visualization,Volcano,1,2
Visualization,Numerical analysis,1,2
Numerical analysis,Quantum,1,2
Task (project management),Sensemaking,1,2
Analytics,Activity recognition,1,2
Feature extraction,Activity recognition,1,2
Feature extraction,Learning analytics,1,2
Activity recognition,Visualization,1,2
Visualization,Quantum,1,2
Sentence,Text corpus,1,2
Curvilinear coordinates,Line (geometry),1,2
Volume (thermodynamics),Atlas (anatomy),1,2
Line (geometry),Grid,1,2
Flow (mathematics),Airplane,1,2
Computational fluid dynamics,Airplane,1,2
Water resources,Water quality,1,2
Water resources,Quality (philosophy),1,2
Water resources,Turbidity,1,2
Water resources,Pollution,1,2
Water resources,Hydrology (agriculture),1,2
Wing,Turbulence,1,2
Wing,Airplane,1,2
Visualization,Airplane,1,2
Water quality,Turbidity,1,2
Water quality,Pollution,1,2
Visualization,Wing,1,2
Wake,Airplane,1,2
Wake,Wing,1,2
Water quality,Hydrology (agriculture),1,2
Vortex,Airplane,1,2
Airplane,Turbulence,1,2
Aerodynamics,Vector field,1,2
Volume (thermodynamics),Wavelet,1,2
Surface (topology),Approximation theory,1,2
Water pollution,Water resources,1,2
Path (computing),Monte Carlo method,1,2
Water pollution,Water quality,1,2
Water pollution,Quality (philosophy),1,2
Piecewise linear function,Approximation theory,1,2
Minimax approximation algorithm,Approximation theory,1,2
Minimax approximation algorithm,Piecewise linear function,1,2
Water pollution,Turbidity,1,2
Volume (thermodynamics),Morphing,1,2
Surface (topology),Minimax approximation algorithm,1,2
Water pollution,Pollution,1,2
Piecewise,Approximation theory,1,2
Water pollution,Hydrology (agriculture),1,2
Piecewise,Minimax approximation algorithm,1,2
Wavelet,Morphing,1,2
Pattern recognition (psychology),Morphing,1,2
Quality (philosophy),Turbidity,1,2
Vortex,Wing,1,2
Aerodynamics,Airplane,1,2
Raster graphics,Tree traversal,1,2
Semantic Web,Sentiment analysis,1,2
Semantic Web,Semantic similarity,1,2
Semantic Web,Topic model,1,2
Quadtree,Computer graphics,1,2
Quadtree,Grid,1,2
Semantics (computer science),Sentiment analysis,1,2
Raster graphics,Data structure,1,2
