source,target,value,level
Computer network,Distributed computing,2,1
Programming language,Parallel computing,2,1
Human–computer interaction,Data mining,2,1
Algorithm,Mathematical analysis,2,1
Artificial intelligence,Mechanics,2,1
World Wide Web,Data mining,2,1
Computer graphics (images),Optics,2,1
Artificial intelligence,Biomedical engineering,2,1
Molecular physics,Chemical physics,2,1
Computer network,Real-time computing,2,1
Computer graphics (images),Medical physics,2,1
Mathematics education,Data science,2,1
Mechanics,Optics,2,1
Computer vision,Mechanics,2,1
Marine engineering,Mechanical engineering,2,1
Natural language processing,Programming language,2,1
Geometry,Combinatorics,2,1
Human–computer interaction,Engineering drawing,2,1
Mathematics education,Artificial intelligence,2,1
Data mining,Computer graphics (images),2,1
Data mining,Mathematical optimization,2,1
Computer vision,Nuclear medicine,2,1
Artificial intelligence,Geometry,2,1
Natural language processing,Computer graphics (images),2,1
Operating system,Parallel computing,2,1
Computational science,Computer vision,2,1
Programming language,Algorithm,2,1
Software engineering,World Wide Web,2,1
Database,Data mining,2,1
Database,World Wide Web,2,1
Computational science,Distributed computing,2,1
Distributed computing,Data science,2,1
Database,Multimedia,2,1
Distributed computing,Algorithm,2,1
Information retrieval,Multimedia,2,1
Computer graphics (images),Theoretical computer science,2,1
Operating system,Human–computer interaction,2,1
Computer graphics (images),Operating system,2,1
Distributed computing,Computer architecture,2,1
Mathematical physics,Mathematical analysis,2,1
Cardiology,Radiology,2,1
Medical physics,Artificial intelligence,2,1
Nuclear medicine,Radiology,2,1
Meteorology,Remote sensing,2,1
Biomedical engineering,Artificial intelligence,2,1
Computer vision,Neuroscience,2,1
Embedded system,Computer hardware,2,1
Geometry,Computer graphics (images),2,1
Data mining,Theoretical computer science,2,1
Computer graphics (images),Embedded system,2,1
Natural language processing,Multimedia,2,1
Mechanical engineering,Aerospace engineering,1,1
Meteorology,Climatology,1,1
Engineering ethics,Data science,1,1
Artificial intelligence,Anatomy,1,1
Climatology,Remote sensing,1,1
Computer graphics (images),Aerospace engineering,1,1
Computational science,Quantum mechanics,1,1
Computational physics,Mechanics,1,1
Computer vision,Anatomy,1,1
Biomedical engineering,Anatomy,1,1
Statistical physics,Biological system,1,1
Geodesy,Remote sensing,1,1
Statistics,Artificial intelligence,1,1
Marine engineering,Aerospace engineering,1,1
Programming language,Computer graphics (images),1,1
Mechanics,Aerospace engineering,1,1
Algorithm,Distributed computing,1,1
Algorithm,Parallel computing,1,1
Geometry,Computer vision,1,1
Simulation,Acoustics,1,1
Computer graphics (images),Simulation,1,1
Computer vision,Programming language,1,1
Meteorology,Atmospheric sciences,1,1
Database,Remote sensing,1,1
Natural language processing,Computer vision,1,1
Geometry,Pure mathematics,1,1
Data mining,Programming language,1,1
Combinatorics,Pure mathematics,1,1
Mathematical analysis,Pure mathematics,1,1
Programming language,Multimedia,1,1
Financial economics,Econometrics,1,1
Computational biology,Information retrieval,1,1
Embedded system,Computer graphics (images),1,1
Astrobiology,Remote sensing,1,1
Algorithm,Pure mathematics,1,1
Computer security,World Wide Web,1,1
Computer graphics (images),Astronomy,1,1
Geometry,Optics,1,1
Computer graphics (images),Applied mathematics,1,1
Mechanics,Acoustics,1,1
Optics,Acoustics,1,1
Computational biology,Human–computer interaction,1,1
Optoelectronics,Optics,1,1
Mathematical analysis,Mathematical optimization,1,1
Computer vision,Embedded system,1,1
Embedded system,Artificial intelligence,1,1
Computational biology,Cell biology,1,1
Chromatography,Computational biology,1,1
Computer hardware,Embedded system,1,1
Computer hardware,Human–computer interaction,1,1
Microeconomics,Econometrics,1,1
Embedded system,Human–computer interaction,1,1
Marine engineering,Mechanics,1,1
Mechanical engineering,Mechanics,1,1
Visual arts,Art history,1,1
Artificial intelligence,Knowledge management,1,1
Data science,Knowledge management,1,1
Human–computer interaction,Knowledge management,1,1
Financial economics,Microeconomics,1,1
Computer graphics (images),Archaeology,1,1
Operating system,Computer hardware,1,1
Optoelectronics,Electrical engineering,1,1
Artificial intelligence,Combinatorics,1,1
Optoelectronics,Acoustics,1,1
Electrical engineering,Acoustics,1,1
Mechanical engineering,Engineering drawing,1,1
